tag,date,total_works,total_kudos,total_hits,total_words
Top Ekko (League of Legends),2022-01-21,0,0,0,0
Top Caitlyn (League of Legends),2022-01-21,23,60195,893490,105080
Top Viktor (League of Legends),2022-01-19,14,13316,178704,55198
Top Vi (League of Legends),2022-01-19,13,9448,205886,55036
Top Vander (League of Legends),2022-01-19,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-19,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-19,7,2687,58368,30030
Top Mel Medarda,2022-01-19,1,211,6101,810
Top Jinx (League of Legends),2022-01-19,1,429,16037,3924
Top Jayce (League of Legends),2022-01-19,15,27669,317430,68602
Top Ekko (League of Legends),2022-01-19,0,0,0,0
Top Caitlyn (League of Legends),2022-01-19,23,60195,893490,105080
Top Viktor (League of Legends),2022-01-18,13,13007,171766,49561
Top Vi (League of Legends),2022-01-18,13,9448,205886,55036
Top Vander (League of Legends),2022-01-18,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-18,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-18,7,2687,58368,30030
Top Mel Medarda,2022-01-18,1,211,6101,810
Top Jinx (League of Legends),2022-01-18,1,429,16037,3924
Top Jayce (League of Legends),2022-01-18,15,27669,317430,68602
Top Ekko (League of Legends),2022-01-18,0,0,0,0
Top Caitlyn (League of Legends),2022-01-18,23,60195,893490,105080
Top Viktor (League of Legends),2022-01-17,12,12763,168404,48748
Top Vi (League of Legends),2022-01-17,13,9448,205886,55036
Top Vander (League of Legends),2022-01-17,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-17,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-17,7,2687,58368,30030
Top Mel Medarda,2022-01-17,1,211,6101,810
Top Jinx (League of Legends),2022-01-17,1,429,16037,3924
Top Jayce (League of Legends),2022-01-17,15,27669,317430,68602
Top Ekko (League of Legends),2022-01-17,0,0,0,0
Top Caitlyn (League of Legends),2022-01-17,22,59603,882704,100857
Top Viktor (League of Legends),2022-01-16,12,12763,168404,48748
Top Vi (League of Legends),2022-01-16,13,9448,205886,55036
Top Vander (League of Legends),2022-01-16,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-16,5,2192,30638,24484
Top Sevika (Arcane: League of Legends),2022-01-16,7,2687,58368,30030
Top Mel Medarda,2022-01-16,1,211,6101,810
Top Jinx (League of Legends),2022-01-16,1,429,16037,3924
Top Jayce (League of Legends),2022-01-16,14,27020,304280,63057
Top Ekko (League of Legends),2022-01-16,0,0,0,0
Top Caitlyn (League of Legends),2022-01-16,22,59603,882704,100857
Top Viktor (League of Legends),2022-01-15,12,12763,168404,48748
Top Vi (League of Legends),2022-01-15,13,9448,205886,55036
Top Vander (League of Legends),2022-01-15,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-15,5,2192,30638,24484
Top Sevika (Arcane: League of Legends),2022-01-15,6,2003,44697,19160
Top Mel Medarda,2022-01-15,1,211,6101,810
Top Jinx (League of Legends),2022-01-15,1,429,16037,3924
Top Jayce (League of Legends),2022-01-15,13,26368,294127,58846
Top Ekko (League of Legends),2022-01-15,0,0,0,0
Top Caitlyn (League of Legends),2022-01-15,22,59603,882704,100857
Top Viktor (League of Legends),2022-01-14,12,12763,168404,48748
Top Vi (League of Legends),2022-01-14,12,8716,175841,40827
Top Vander (League of Legends),2022-01-14,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-14,5,2192,30638,24484
Top Sevika (Arcane: League of Legends),2022-01-14,6,2003,44697,19160
Top Mel Medarda,2022-01-14,1,211,6101,810
Top Jinx (League of Legends),2022-01-14,1,429,16037,3924
Top Jayce (League of Legends),2022-01-14,13,26368,294127,58846
Top Ekko (League of Legends),2022-01-14,0,0,0,0
Top Caitlyn (League of Legends),2022-01-14,22,59603,882704,100857
Top Viktor (League of Legends),2022-01-13,10,11462,152914,36216
Top Vi (League of Legends),2022-01-13,12,8716,175841,40827
Top Vander (League of Legends),2022-01-13,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-13,4,2124,29660,23183
Top Sevika (Arcane: League of Legends),2022-01-13,6,2003,44697,19160
Top Mel Medarda,2022-01-13,1,211,6101,810
